4700.602929086564,5281.0876122968075,A00
4943.2422763006725,5220.870113315938,A01
5184.640958459313,5155.857220347913,A02
5426.704098728586,5093.363731703271,A03
5676.5989157167605,5086.112494398731,A04
5926.493656135881,5078.858618823528,A05
6168.008944016949,5143.436987645642,B00
6407.609447192648,5214.79242806858,B01
6647.570908301885,5284.924426345546,B02
6886.795412863276,5357.5304620268635,B03
7126.87903246424,5427.243126581448,B04
7095.200457819442,5675.227940448092,C00
6982.767774611415,5898.518987618917,C01
7200.332867715606,6021.666989074746,D00
7435.524181411621,6106.431639501341,D01
7670.6514115790615,6191.373888316563,D02
7904.176607717488,6280.626242730939,D03
